Name,Coordinates,Population
Kishangarh,"26.59006, 74.85397",131749
Carigara,"11.29811, 124.67895",17495
Baggabag B,"16.50588, 121.19014",24967
Thal,"35.47836, 72.24383",29331
Mirpur Mathelo,"28.02136, 69.54914",49311
Burgos,"42.34106, -3.70184",178966
Vantaa,"60.29414, 25.04099",190058
Agadez,"16.97333, 7.99111",149549
Kaiapoi,"-43.37832, 172.64013",13600
Monagrillo,"7.98262, -80.43302",10821
Niscemi,"37.14649, 14.39381",26893
Rānībennur,"14.62239, 75.62951",99105
Lakhtar,"22.85683, 71.78844",14534
Kharakvasla,"18.43997, 73.77545",23677
Kalavai,"12.77029, 79.41999",10057
Jaynagar Majilpur,"22.1752, 88.42008",25922
Manuguru,"17.93023, 80.82671",32539
La Carlota,"-33.42012, -63.2975",11490
Akyazı,"40.685, 30.62222",25068
Bezhetsk,"57.78422, 36.70082",28114
Tanjia,"31.45574, 108.49861",15261
Longquan,"24.67193, 102.1613",91534
Gecheng,"31.94856, 108.66073",37312
Lanxi,"46.25773, 126.28065",72528
Cajicá,"4.91857, -74.02799",24999
Deutz,"50.93463, 6.97495",15238
Ilsede,"52.2634, 10.19922",12241
Matriz de Camaragibe,"-9.15167, -35.53333",18705
Tutume,"-20.4943, 27.03479",18582
Krychaw,"53.69571, 31.71233",27681
Lower Sackville,"44.77599, -63.67865",21379
Fraile Pintado,"-23.94148, -64.8009",13682
Centenario,"-38.82955, -68.1318",28956
Hallett Cove,"-35.07923, 138.5146",12512
Kirkintilloch,"55.93933, -4.15262",19630
Harrow,"51.57835, -0.33208",149246
Kessel-Lo,"50.88549, 4.73717",30215
Zittau,"50.89772, 14.80764",25785
Gadouan,"6.65623, -6.16609",16620
San Miguel,"15.1423, 120.97568",65661
Kabaty,"52.13012, 21.08148",25000
Inkhil,"33.01809, 36.12828",29076
Villas,"26.55035, -81.8687",11569
Lealman,"27.82114, -82.67927",19879
Venice,"27.09978, -82.45426",22211
Yemva,"62.58999, 50.85939",16404
Kharovsk,"59.96425, 40.19121",11115
Gryazovets,"58.88, 40.2525",16133
Babushkin,"55.86931, 37.72966",86000
Kochubeyevskoye,"44.64417, 41.84528",28491
Labytnangi,"66.65722, 66.41833",27067
Dej,"47.15, 23.86667",38033
Mettingen,"52.31667, 7.78333",12532
Dinkelsbühl,"49.06942, 10.31985",11882
Kalk,"50.94013, 7.00605",22802
Asparuhovo,"43.18067, 27.88823",27000
Malanville,"11.86819, 3.38327",64639
Pedra Branca,"-5.45417, -39.71722",20072
Itupiranga,"-5.13472, -49.32667",21301
Miracema,"-21.41222, -42.19667",26684
Açucena,"-19.07306, -42.54639",14505
Guaíba,"-30.11389, -51.325",101024
Alaverdi,"41.09766, 44.67316",13184
Buco,"-9.55833, 16.14639",13217
Pirané,"-25.73271, -59.10989",19124
La Rioja,"-29.41105, -66.85067",178872
Padstow,"-33.95687, 151.03191",13226
Whitehorse,"60.71611, -135.05375",28201
Fallingbrook,"45.47558, -75.48401",25000
Maple Leaf,"43.71557, -79.48076",10111
Zürich (Kreis 2),"47.33756, 8.5211",29215
En Nedjma,"35.64785, -0.5695",51665
In Salah,"27.19678, 2.47913",32518
Kafr al Baţţīkh,"31.40398, 31.73778",47198
Paterna,"39.50263, -0.44079",64023
Heusy,"50.57457, 5.86618",15420
Waren,"53.5204, 12.67985",21470
Affery,"6.32035, -3.95235",47109
Lake Morton-Berrydale,"47.33251, -122.10286",10160
Sierra Vista Southeast,"31.45385, -110.21637",14797
Rabkavi,"16.47567, 75.1106",73835
Mahālingpur,"16.3888, 75.10873",32699
Lūnāvāda,"23.12841, 73.61043",35431
Koratla,"18.82154, 78.71186",60231
Bagnolet,"48.86667, 2.41667",33504
Ripley,"53.03333, -1.4",21097
North Walsham,"52.82121, 1.38746",12463
Malanday,"14.71694, 120.95806",19060
Rejon placu Grunwaldzkiego,"51.11669, 17.06126",27030
Carregado,"39.02362, -8.97692",10474
Itá,"-25.50054, -57.36717",18459
Kelo,"9.30859, 15.80658",82677
Çamaş,"40.902, 37.52786",10535
Khmilnyk,"49.5581, 27.95682",27707
Delta,"49.14399, -122.9068",101668
Elbasan,"41.1125, 20.08222",100903
Sutherland,"-34.031, 151.05532",10657
Ecublens,"46.60735, 6.80895",10065
Güimar,"28.31122, -16.41276",17662
Velen,"51.89447, 6.98807",13074
Shiloh,"41.04172, -78.2914",11217
Spring Valley,"32.74477, -116.99892",28205
Mill Creek,"47.8601, -122.2043",20043
Tuy Hòa,"13.09546, 109.32094",69596
Giv'at Shmuel,"32.07817, 34.84858",26578
Sidlaghatta,"13.38896, 77.86444",49114
Khagaul,"25.57898, 85.04564",51577
Kallidaikurichi,"8.68591, 77.46592",25513
Jabalpur,"23.16697, 79.95006",1030168
Gandai,"21.66667, 81.10013",12475
Āron,"24.38109, 77.41739",24274
Barbil,"22.10194, 85.37752",52586
Villanueva de la Cañada,"40.44689, -4.00428",16804
Jalpa,"21.63448, -102.97919",14199
Santa Teresa,"19.845, -99.23333",36845
Zoualet,"33.93664, -5.46514",10985
Dalmine,"45.64933, 9.60617",22881
Camaiore,"43.94265, 10.29754",26746
Tiruvannāmalai,"12.22662, 79.07461",138243
Kosi,"27.79449, 77.4368",52492
Kharsia,"21.98953, 83.10476",18256
Khalīlābād,"26.77268, 83.07179",45321
Gosport,"50.79509, -1.12902",70793
Shiraguppi,"16.61875, 74.70907",25000
Tallkayf,"36.49118, 43.12114",23524
Naz̧arābād,"35.95411, 50.60607",213388
Darreh Shahr,"33.14447, 47.3799",24961
Khust,"48.17193, 23.29791",28424
Dokuchaievsk,"47.75046, 37.67936",22835
Yulee,"30.6319, -81.60649",11491
Yermolino,"55.19489, 36.59513",10100
Covington,"39.08367, -84.50855",40997
Orinda,"37.87715, -122.17969",19279
Casper,"42.86663, -106.31308",60285
Sheridan,"44.79719, -106.95618",17873
Ndola,"-12.95867, 28.63659",451246
Park Forest,"41.49142, -87.67449",21954
Ferndale,"42.46059, -83.13465",20177
Fort Lee,"40.85093, -73.97014",36672
Portland,"36.58171, -86.51638",12323
Yangquan,"37.8575, 113.56333",731228
Laiyang,"36.97583, 120.71361",169594
Heba,"33.93624, 105.21625",32538
Kolia,"9.7651, -6.46372",15716
Vicálvaro,"40.4, -3.6",66439
Kraśnik,"50.9236, 22.22706",35834
Białołeka,"52.32127, 20.97204",129106
Gostyń,"51.88247, 17.01225",20771
Abony,"47.1899, 20.00476",16342
Bishops Stortford,"51.87113, 0.15868",37838
Wimbledon Park,"51.43495, -0.1988",11197
Telavi,"41.91978, 45.47315",19599
La Vergne,"36.01562, -86.58194",34794
Armyansk,"46.10919, 33.69206",24442
Kimbe,"-5.55085, 150.13766",18847
Tigbauan,"10.67466, 122.3776",12659
Prokuplje,"43.23417, 21.58806",27673
Oxford,"34.3665, -89.51925",22314
Isinya,"-1.6792, 36.85056",14429
Georgetown,"30.63269, -97.67723",63716
Wyckoff,"41.00954, -74.17292",17124
Sleepy Hollow,"41.08565, -73.85847",10242
Casa Grande,"32.8795, -111.75735",51460
Chino Hills,"33.9938, -117.75888",78309
Billings,"45.78329, -108.50069",110263
Mechanicsville,"37.60876, -77.37331",36348
Leominster,"42.52509, -71.75979",41569
Hudiksvall,"61.72744, 17.10558",16081
Gävle,"60.67452, 17.14174",74884
Photharam,"13.69234, 99.84969",36248
Buri Ram,"14.99433, 103.10392",28283
Tor Tre Teste,"41.88233, 12.58518",11417
Usuki,"33.12342, 131.80401",35001
Pembroke,"45.81681, -77.11616",13882
Xangongo,"-16.7444, 14.97494",35000
Nuwara Eliya,"6.97078, 80.78286",27500
Gevgelija,"41.14166, 22.50141",20664
Calenzano,"43.85447, 11.16608",12623
Pematangsiantar,"2.9595, 99.0687",268254
Kota,"24.44643, 83.13063",14632
Jhā-Jhā,"24.77107, 86.37888",38624
Bolānīkhodān,"22.11312, 85.33645",11942
Badnāwar,"23.02181, 75.23268",18790
Avanigadda,"16.02148, 80.91808",25761
Gland,"46.42082, 6.2701",10641
Narsingdi,"23.92298, 90.71768",281080
Khulna,"22.80979, 89.56439",1500689
Narragansett,"41.4501, -71.4495",15868
South Jordan,"40.56217, -111.92966",66648
Mill Creek East,"47.83602, -122.18766",15709
Grey Lynn,"-36.86489, 174.73695",11720
Jeju City,"33.50972, 126.52194",486306
Mosta,"35.90917, 14.42556",23482
Campo de Criptana,"39.40463, -3.12492",15006
‘Alem T’ēna,"8.3, 38.95",23700
Baiyang,"30.8164, 108.61098",34962
Kostinbrod,"42.81667, 23.21667",12175
Ilhabela,"-23.77806, -45.35806",35591
Sainte-Anne-des-Plaines,"45.76468, -73.81156",10680
Prudhoe,"54.96154, -1.85168",12075
Zürich (Kreis 5),"47.38767, 8.52152",11737
Kingsview Village-The Westway,"43.69899, -79.54786",22000
Al Faḩāḩīl,"29.0825, 48.13028",68290
Taurage,"55.25222, 22.28972",21203
Yoshii,"36.25, 138.98333",25655
Yaotsu,"35.46667, 137.15",11036
Tsurusaki,"33.24528, 131.69165",76968
Chaah,"2.249, 103.048",11844
Tchin Tabaradèn,"15.8969, 5.7985",20704
Valle de Santiago,"20.3914, -101.19222",68058
Ghosī,"26.10587, 83.5393",39138
Ettaiyapuram,"9.14405, 77.99066",12956
Akatsi,"6.1316, 0.79853",31981
Meneméni,"40.65829, 22.89712",15706
Hafnarfjörður,"64.0671, -21.93774",29971
Taviano,"39.98224, 18.08151",11560
Saransk,"54.1838, 45.1749",318841
Pogar,"52.55287, 33.25961",11242
San Sebastián de los Reyes,"40.55555, -3.62733",75912
Sant Joan Despí,"41.36718, 2.0574",32030
Urmston,"53.44852, -2.35419",41198
Limehouse,"51.51412, -0.03282",15986
Kırkağaç,"39.10638, 27.66925",27053
Chekmagush,"55.13194, 54.65556",11225
Balashikha,"55.79479, 37.94794",150103
Kolkwitz,"51.75, 14.25",10225
Albertslund,"55.65691, 12.36381",30000
Vyshneve,"50.38913, 30.3705",42983
San Pablo,"14.0683, 121.3256",207577
Lagoa Vermelha,"-28.20861, -51.52583",24445
Kassel,"51.31667, 9.5",194501
Felsberg,"51.13763, 9.42139",11219
Haslev,"55.32346, 11.96389",12119
Makouda,"36.78567, 4.06273",34515
Motril,"36.75066, -3.5179",60279
Barbate,"36.19237, -5.92186",22551
Badajoz,"38.87789, -6.97061",148334
Kananga,"-5.89624, 22.41659",1247168
Zata,"6.87914, -5.40398",10877
Mikkeli,"61.68857, 27.27227",52121
Montigny-lès-Cormeilles,"48.98201, 2.20035",17910
Laval,"48.07247, -0.77019",50489
Sopur,"34.28671, 74.47228",63035
Brixton Hill,"51.45213, -0.123",12458
Dhafní,"37.95002, 23.73437",22913
Qo’shko’pir,"41.53275, 60.34698",16948
Tuusula,"60.40368, 25.02638",34725
Papanasam,"10.92687, 79.27056",16837
Khetri,"28.00069, 75.78644",17177
Torquay,"50.46198, -3.52522",65388
Shama Junction,"5.01806, -1.66437",20946
Zunil,"14.78463, -91.48345",14118
Seto,"35.23333, 137.1",127659
Dalipuga,"8.31583, 124.25472",14242
Badin,"24.656, 68.837",73569
Likhovskoy,"48.15188, 40.17925",13617
Beverly Hills,"42.52392, -83.22326",10267
Ballincollig,"51.88333, -8.58333",18621
Smederevo,"44.66436, 20.92763",62000
Tomball,"30.09716, -95.61605",11540
Jaigaon,"26.84766, 89.37558",158664
Eslamshahr,"35.55222, 51.23504",450000
Acopiara,"-6.09528, -39.4525",24561
Burlington,"43.38621, -79.83713",183314
Schwechat,"48.13333, 16.46667",12351
Murrumba Downs,"-27.26733, 153.01053",10481
Tengréla,"10.48115, -6.40694",52271
Zavety Il’icha,"56.04284, 37.85153",20000
Melrose,"42.45843, -71.06616",27997
Faribault,"44.29496, -93.26883",23650
Willmar,"45.12191, -95.04334",19638
Rossville,"40.55566, -74.21348",18792
Lyndhurst,"41.52005, -81.48873",13691
Kaliua,"-5.06056, 31.79361",12362
Lake in the Hills,"42.18169, -88.33036",29024
Shiroi,"35.8, 140.06667",55314
Tama,"35.6436, 139.46844",148285
Tsuruta,"40.75221, 140.43198",12870
Kokshetau,"53.28333, 69.4",150649
Cuauhtémoc,"19.44506, -99.14612",531831
Chakwama,"11.55965, 9.66407",200000
Sint-Oedenrode,"51.5675, 5.45972",16931
Pokhara,"28.26689, 83.96851",200000
Napier,"-39.4926, 176.91233",66700
Zhaogezhuang,"39.76538, 118.41191",86555
Yuntai,"30.13894, 107.20487",40328
Xihe,"31.68635, 113.46585",90422
Miaoba,"31.93615, 108.51786",10342
Shuangfengqiao,"29.71859, 106.62712",67717
Fresno,"5.15264, -75.03624",17668
Cordenons,"45.9836, 12.70038",15962
Saint Helier,"49.18804, -2.10491",28000
Takedamachi,"32.96667, 131.4",16361
Tlaltenango de Sánchez Román,"21.78221, -103.30298",16396
La Barca,"20.28784, -102.54514",35219
Kertih,"4.5141, 103.4483",24401
Kuala Lumpur,"3.1412, 101.68653",1453975
Messica,"-18.99161, 33.08226",15907
Ikire,"7.36983, 4.1863",222160
Paiján,"-7.73291, -79.3015",21128
Chongoyape,"-6.64056, -79.38917",16061
Isahaya,"32.84111, 130.04306",135546
Arita,"33.18333, 129.9",18989
Emali,"-2.08033, 37.47202",18325
Cheongju-si,"36.63722, 127.48972",846291
Bolderaja,"57.03132, 24.05571",14771
Hilter,"52.13573, 8.14715",10173
Gevelsberg,"51.31971, 7.3392",32664
Boudjima,"36.80218, 4.15187",20557
Ochtrup,"52.20802, 7.18988",19441
Gagnoa,"6.13193, -5.9506",277044
Lucan,"53.35736, -6.44859",15269
Mīrānpur,"29.29026, 77.94939",27390
Saltash,"50.40959, -4.22514",15566
Barry,"51.39979, -3.2838",54673
Anantnag,"33.73068, 75.15418",79821
Bandar-e Lengeh,"26.55792, 54.88067",22768
Morris Park,"40.85232, -73.85347",10289
Ipubi,"-7.65194, -40.14889",16424
Carolina,"-7.33561, -47.46218",16228
Timóteo,"-19.58106, -42.64953",91722
Pontalina,"-17.525, -49.44722",13639
Carangola,"-20.73306, -42.02944",25321
Camaquã,"-30.85111, -51.81222",53169
Kopong,"-24.48333, 25.88333",13823
North Saanich,"48.66634, -123.41933",11089
Matane,"48.82857, -67.52197",14812
Kabeya-Kamwanga,"-5.9988, 23.25386",44093
Buchs,"47.16743, 9.47794",10418
Nālchiti,"22.63696, 90.27195",38703
Wuustwezel,"51.39214, 4.59546",15000
Ronse,"50.74574, 3.6005",24204
Dabakala,"8.36321, -4.42863",18322
Gnago,"5.24032, -5.79516",19370
Puente Alto,"-33.61169, -70.57577",568106
Lhasa,"29.65, 91.1",118721
Dadamtu,"43.98028, 81.31417",36572
Maocun,"34.37667, 117.25056",57649
Jinchang,"38.50062, 102.19379",228561
Chengjiang,"29.87194, 106.38467",28056
Ji’an,"29.15897, 105.74703",20978
Guochuan,"34.6838, 105.81",15276
San Sebastián de Mariquita,"5.19889, -74.89295",33340
Candelaria,"10.45912, -74.8797",15631
La Castellana,"10.3239, 123.0215",24407
Borongan,"11.60806, 125.43194",16484
Rumia,"54.57092, 18.38802",44791
Çubuk,"40.23861, 33.03222",62602
Çamlıdere,"40.48958, 32.47499",12484
Chaguanas,"10.51667, -61.41667",67433
Zhongxing New Village,"23.95908, 120.68516",25549
Ostashkov,"57.14695, 33.10659",19563
Ishimbay,"53.45446, 56.04149",70421
Forestdale,"33.57011, -86.89638",10162
Pinehurst,"35.19543, -79.46948",15752
Rio Rancho,"35.23338, -106.66447",87521
Randburg,"-26.0941, 28.00123",337053
Capanema,"-1.19583, -47.18083",47766
Itaberaba,"-12.5275, -40.30694",47301
Andradina,"-20.89611, -51.37944",52406
Broadview North,"43.68883, -79.35563",11499
Cafunfo,"-8.7672, 17.99572",90000
Lukolela,"-1.06046, 17.1821",15000
Amsterdam,"42.93869, -74.18819",18008
Mlowo,"-9.0, 32.98333",18737
Key Biscayne,"25.69371, -80.16282",12990
North Druid Hills,"33.81677, -84.31326",18947
New Canaan,"41.14676, -73.49484",19738
Auburn,"41.36699, -85.05886",12979
Rimavská Sobota,"48.38284, 20.02239",25235
Takelsa,"36.78333, 10.63333",22151
Elizabethtown,"37.69395, -85.85913",29678
Al Majāridah,"19.132, 41.924",14830
Watamu,"-3.35335, 40.02095",27857
Rijeka,"45.32673, 14.44241",107964
Adiwerna,"-6.9375, 109.1325",134188
Mothīhāri,"26.64862, 84.91656",112144
Khailār,"25.34127, 78.53133",13334
Aire-sur-la-Lys,"50.63871, 2.39876",10397
Mangotsfield,"51.4878, -2.50403",36427
Néo Psychikó,"38.00624, 23.78373",10137
Cagnes-sur-Mer,"43.66352, 7.1479",46923
Chirgaon,"25.57198, 78.81432",14147
Bhudgaon,"16.90742, 74.59954",15738
Pujali,"22.46787, 88.14524",37047
Miyazaki,"31.91667, 131.41667",398215
Kurihashi,"36.13333, 139.7",27813
Chichibu,"35.99028, 139.07639",61159
Gīmbīcho,"7.45, 37.63333",22900
Swinton,"53.5, -2.35",20000
Orange,"-33.28397, 149.10018",38408
Castalla,"38.59694, -0.67207",10327
Dazhou,"30.87887, 108.49841",12184
Zorgo,"12.24922, -0.61527",35398
Oud-Beijerland,"51.82417, 4.4125",23569
Heesch,"51.73362, 5.52672",12810
Hawera,"-39.59167, 174.28333",10350
Otaru,"43.18944, 141.00222",115333
Morombe,"-21.74499, 43.36055",23961
Castelfranco Emilia,"44.59445, 11.04979",17315
Capurso,"41.04598, 16.92168",13958
Amozoc de Mota,"19.04611, -98.045",77106
Gangoh,"29.78004, 77.26346",59519
Kapotnya,"55.63806, 37.79306",29594
Sarigerme,"36.71549, 28.70436",16000
Palmela,"38.56902, -8.90126",16934
Semelhe,"41.55437, -8.46281",11700
Songkhla,"7.19882, 100.5951",61758
Zürich (Kreis 3) / Alt-Wiedikon,"47.36201, 8.51497",14931
Pangkalan Brandan,"4.0238, 98.2782",25542
Qalansuwa,"32.28493, 34.98106",16898
Aurillac,"44.92539, 2.43983",34724
Shima,"29.63116, 105.83065",22820
Jinxiang,"27.43265, 120.60625",84231
Luobei,"47.57602, 130.81311",42109
Baoji,"34.36775, 107.23705",1437802
Eslam Qaleh,"34.66667, 61.06667",18086
Rosedale-Moore Park,"43.68282, -79.37967",20923
Kimpese,"-5.5615, 14.43159",79539
Loandjili,"-4.75611, 11.85778",23204
Yegor’yevsk,"55.37952, 39.04122",85200
Chita,"52.03171, 113.50087",349005
Freiberg am Neckar,"48.93196, 9.2024",15235
Benaguasil,"39.6, -0.58333",11011
Attleborough,"52.51779, 1.01572",10549
Kaisarianí,"37.9634, 23.76523",26370
Ga-Kgapane,"-23.64378, 30.22324",13000
Baldwin,"40.65649, -73.6093",24033
Hialeah,"25.8576, -80.27811",237069
Kanash,"55.50962, 47.49127",49886
Brighton,"43.14756, -77.55055",36609
Bayville,"39.90929, -74.15486",20512
Grand Prairie,"32.74596, -96.99778",187809
Chak Five Hundred Seventy-five,"31.54514, 73.82891",24295
Dubti,"11.73292, 41.082",36100
Bozüyük,"39.90778, 30.03667",55365
North Peoria,"40.71754, -89.58426",113004
Kirkland,"47.68149, -122.20874",87281
Longview,"46.13817, -122.93817",36848
Podujeva,"42.91056, 21.19306",35000
Sŭngjibaegam,"41.24278, 128.79889",11786
Séitifla,"7.43926, -6.71813",10422
Nanjian,"25.04493, 100.51437",50083
Jiangshan,"36.67806, 120.52917",86642
Cheyyar,"12.66052, 79.54308",36527
Pachperwa,"27.51234, 82.64297",15056
Paharpur,"32.10502, 70.97055",17294
Den Helder,"52.95988, 4.75933",59569
Novaya Derevnya,"59.98748, 30.28682",20000
Aprelevka,"55.55194, 37.0801",17780
Vorkuta,"67.49884, 64.05253",80039
Zgorzelec,"51.14942, 15.00835",33247
Saladas,"-28.25504, -58.62386",18349
Huron,"44.36332, -98.21426",13313
Vancouver,"45.63873, -122.66149",172860
New Brighton,"45.06552, -93.20189",22351
Sambrial,"32.47835, 74.35338",62874
Muhammad Pur,"30.71015, 73.01782",14018
Fangchenggang,"21.76945, 108.35661",276315
Curridabat,"9.9139, -84.03595",34586
Mórfou,"35.19869, 32.99338",24070
Meiderich,"51.46667, 6.76667",45297
Clausthal-Zellerfeld,"51.80949, 10.33821",15345
Beelitz,"52.23812, 12.9714",12475
Bressanone,"46.71503, 11.65598",15868
Santiago Teyahualco,"19.65985, -99.12493",53684
Si Satchanalai,"17.51692, 99.75978",25942
Mount Pleasant,"33.15679, -94.96827",16051
Secaucus,"40.78955, -74.05653",19104
Bethpage,"40.74427, -73.48207",16429
Oro Valley,"32.39091, -110.96649",45303
Ben Jerrar,"30.26224, -9.50377",53026
Basarabeasca,"46.3317, 28.96365",10809
Cernusco sul Naviglio,"45.52526, 9.33297",29078
Le Robert,"14.67751, -60.94228",23814
Valle Hermoso,"25.67207, -97.81313",48918
Santiago Tuxtla,"18.46576, -95.3006",15459
Coatzintla,"20.48699, -97.46823",34036
Sant'Ambrogio di Valpollicella,"45.52089, 10.83618",10384
Bovisio-Masciago,"45.61019, 9.15301",16542
Tarumizu,"31.48333, 130.7",19146
Shizuoka,"34.98333, 138.38333",690881
West Drayton,"51.5, -0.46667",12156
Sheffield,"53.38297, -1.4659",556500
Codicote,"51.85052, -0.2367",10938
Bickley,"51.40135, 0.04583",13904
Isle of Lewis,"58.21901, -6.38803",18500
Szekszárd,"46.35014, 18.70905",34174
Suriānwān,"25.46387, 82.41922",19157
Pariyāpuram,"11.01667, 75.86667",22766
Gérardmer,"48.07346, 6.87787",10084
San José de Jáchal,"-30.24162, -68.74662",21018
Manali,"13.16667, 80.26667",32363
Canterbury,"51.27904, 1.07992",55240
Berkhamsted,"51.7604, -0.56528",21997
Castillejos,"14.93363, 120.19785",27301
Wilhelmsburg,"53.49973, 10.01281",53064
Wakuya,"38.54465, 141.13461",15763
Anjozorobe,"-18.4, 47.86667",25541
Radovis,"41.63833, 22.46472",24984
Cadereyta,"25.58333, -99.98333",67994
Hāora,"22.57688, 88.31857",1027672
Burley,"42.53574, -113.79279",10436
Kosonsoy,"41.24944, 71.54738",43684
Morón,"10.48715, -68.20078",68084
Chinsali,"-10.54142, 32.08162",14015
Angren,"41.01667, 70.14361",191300
Sikandarpur,"26.04327, 84.05298",24177
Pānīpat,"29.38747, 76.96825",292808
Manihāri,"25.33891, 87.61998",23731
Staré Mesto,"48.15039, 17.09002",46080
Sfax,"34.74056, 10.76028",277278
Winter Park,"28.6, -81.33924",29943
Yagry,"64.59417, 39.81028",40000
Ob’,"54.9872, 82.7166",24238
Ash Shuhadā’,"30.59683, 30.89931",76071
Tobruk,"32.08963, 23.95385",141499
Boumia,"32.7236, -5.1025",17091
Sepang,"2.6931, 101.7498",212050
Nouméa,"-22.27407, 166.44884",93060
Inisa,"7.84855, 4.32981",164161
Sittingbourne,"51.34128, 0.73282",48948
Merthyr Tydfil,"51.74794, -3.37779",43820
The Boldons,"54.9426, -1.45349",13567
Néa Mákri,"38.08733, 23.97642",15554
Jertih,"5.7336, 102.4897",13526
Langtang,"9.14164, 9.79101",13172
Al Buraymī,"24.25088, 55.79312",73670
La Chorrera,"8.88028, -79.78333",61232
Nauta,"-4.50561, -73.58026",14646
Knik-Fairview,"61.51262, -149.60012",14923
Mercedes,"-33.2524, -58.03047",42359
Montesarchio,"41.06227, 14.64096",10516
Gennep,"51.69833, 5.97361",16642
Huancayo,"-12.06513, -75.20486",456250
Jagna,"9.6531, 124.3697",32566
Khanpur Mahar,"27.84088, 69.41302",22273
Rzeszów,"50.04132, 21.99901",158382
Zabrze,"50.32492, 18.78576",192177
Porbandar,"21.64219, 69.60929",138872
Deori Khās,"23.39017, 79.0163",24934
Raghudebbati,"22.52556, 88.19583",12833
Shinshiro,"34.9, 137.5",36069
Garden City,"37.97169, -100.87266",27005
Anderson,"40.44821, -122.29778",10217
Woodinville,"47.75427, -122.16346",11782
Oak Hill,"38.9258, -77.40156",33811
Bethal,"-26.45794, 29.46553",60779
Missouri City,"29.61857, -95.53772",74139
Saginaw,"43.41947, -83.95081",49347
Brooklyn,"40.6501, -73.94958",2736074
Ceeldheer,"3.84878, 47.18064",26562
Iporã,"-24.00306, -53.70417",10353
Curitiba,"-25.42778, -49.27306",1948626
Gravenhurst,"44.91681, -79.36633",12312
Villa Paula de Sarmiento,"-31.4933, -68.53838",19092
Nedlands,"-31.98184, 115.8073",10949
Patiya,"22.29543, 91.979",51360
Alapayevsk,"57.85158, 61.69627",44000
North Plainfield,"40.6301, -74.42737",22140
Kotelva,"50.06849, 34.74697",12122
Claiborne,"32.51598, -92.1918",11507
Shangzhi,"45.20562, 128.00242",82419
Chenjiaba,"30.80767, 108.40846",24745
Xuzhou,"34.20442, 117.28386",1253991
Ahuntsic-Cartierville,"45.56667, -73.66667",134245
Gimbi,"9.17031, 35.83491",64300
Otavalo,"0.23457, -78.26248",32330
Al Qanţarah,"30.85711, 32.31183",31808
Roßlau,"51.88736, 12.24192",12183
Westerland,"54.9079, 8.30326",12500
Jamālpur,"24.91965, 89.94812",167900
Bolzano,"46.49067, 11.33982",107436
Bassano del Grappa,"45.76656, 11.72739",38224
Pālkonda,"18.60374, 83.75568",29378
Khekra,"28.86586, 77.2841",42408
Khardah,"22.71861, 88.37806",128346
Gadhada,"21.96957, 71.57828",28611
Alamo,"37.8502, -122.03218",14570
Hayden,"47.76602, -116.78658",14133
Saint-Nazaire,"47.27506, -2.2179",67054
Bremen,"53.07582, 8.80717",546501
Sig,"35.52832, -0.19369",61373
Bougaa,"36.33293, 5.08843",31922
Grove City,"39.88145, -83.09296",39388
Dickson,"36.077, -87.38779",15359
Lakewood,"40.09789, -74.21764",53805
Naberezhnyye Chelny,"55.72545, 52.41122",509870
Çermik,"38.13538, 39.445",20975
Palm Springs,"26.6359, -80.09615",22341
Mizuho,"35.3943, 136.66898",54686
Mosul,"36.335, 43.11889",1683000
Trapani,"38.0176, 12.53617",67531
Asenovgrad,"42.01667, 24.86667",54778
Teófilo Otoni,"-17.8575, -41.50528",101170
Ituverava,"-20.33944, -47.78056",36997
Gobārdānga,"22.8774, 88.75479",43808
Digras,"20.1035, 77.71846",41554
Bīsalpur,"28.29253, 79.80472",68355
Banda,"24.04488, 78.96094",28978
Akune,"32.01667, 130.2",25089
Iyo,"33.75139, 132.70139",30760
Newington,"41.69788, -72.72371",30562
Vranov nad Topľou,"48.88836, 21.68479",23246
Sudak,"44.84924, 34.97471",16597
Sol’tsy,"58.12229, 30.31831",10625
Platnirovskaya,"45.39531, 39.3842",11710
Krasnoturinsk,"59.7666, 60.2086",62600
Río Cauto,"20.55971, -76.91673",23737
Nový Bor,"50.75761, 14.55555",12171
Zacatecas,"22.76843, -102.58141",129011
Chopda,"21.24578, 75.29946",65598
Neelankarai,"12.9495, 80.2592",15688
Itoman,"26.12647, 127.66918",57184
Ina,"35.82756, 137.95378",68177
Sel’tso,"53.36831, 34.10328",18167
Mayma,"52.01577, 85.90963",15428
Calintaan,"12.56667, 120.93333",11476
Dengzhou,"32.68222, 112.08194",285032
Teteven,"42.91667, 24.26667",10790
Burglengenfeld,"49.20379, 12.04452",12095
Halstenbek,"53.63333, 9.85",16212
el hed,"36.65, 4.77361",31890
Claye-Souilly,"48.94492, 2.68566",11069
Wrexham,"53.04664, -2.99132",65692
Knaresborough,"54.0091, -1.46851",14740
Bununka Kunda,"13.42722, -16.68528",66449
Vikindu,"-7.00667, 39.29849",23307
Hedaru,"-4.5, 37.9",20231
Zhashkiv,"49.2459, 30.09888",13242
Kharkiv,"49.98081, 36.25272",1433886
San Miguel el Alto,"21.03011, -102.40414",23982
Jaffna,"9.66845, 80.00742",169102
Tlaxco,"19.61442, -98.11997",14806
Angri,"40.73815, 14.5707",31632
Sragen,"-7.42639, 111.02222",71522
Segev Shalom,"31.19918, 34.83956",10362
Phagwāra,"31.22452, 75.77387",100146
Diu,"20.71405, 70.98224",23779
