Name,Coordinates,Population
Karagandy,"49.80187, 73.10211",497777
Murzuk,"25.91552, 13.91839",30491
San Giovanni Rotondo,"41.70643, 15.7277",27124
Pavia,"45.19205, 9.15917",65734
Wa,"10.06069, -2.50192",78107
Coyah,"9.70643, -13.38465",77103
Le Camas,"43.29469, 5.39415",16585
Cartagena,"-33.55384, -71.60761",16875
Shizilu,"35.17111, 118.82889",86749
Nanchong,"30.79508, 106.08473",1858875
Fuyang,"32.9, 115.81667",1768947
Taiping,"29.90361, 106.03875",17909
Manyue,"31.61941, 108.56406",10057
Baijia,"30.59295, 107.90383",14163
Itaperuna,"-21.205, -41.88778",84435
Mar’’ina Horka,"53.509, 28.147",20100
El Viejo,"12.66348, -87.16663",53504
Bluefields,"12.01366, -83.76353",44373
Nizhnesortymskiy,"62.43965, 71.76029",15204
Kraichtal,"49.14623, 8.73276",14416
Valverde del Camino,"37.57511, -6.75432",12780
Wonji,"8.4541, 39.21752",29200
Saint-Pol-sur-Mer,"51.03116, 2.33983",23635
Dispur,"26.13564, 91.80069",10812
Gadani,"25.11879, 66.73219",13427
Bang Pakong,"13.54297, 100.99333",25620
Burhaniye,"39.50041, 26.97269",38083
Svitlovodsk,"49.06287, 33.2458",43130
Marhanets,"47.63088, 34.6245",44980
San Pablo,"37.96215, -122.34553",30407
Twentynine Palms,"34.13556, -116.05417",26025
Missoula,"46.87215, -113.994",71022
Tagoloan,"8.53954, 124.75411",30390
Sādri,"25.18555, 73.45288",25632
Pāppinisshēri,"11.95655, 75.34034",34025
Mandlā,"22.59879, 80.37115",45184
Maghar,"26.75586, 83.12773",17011
Anūppur,"23.10344, 81.69083",18122
Ḩadīthah,"34.13661, 42.37727",30925
San Jacinto,"33.78391, -116.95864",46951
Elk Plain,"47.05316, -122.39762",14205
Daniëlskuil,"-28.18873, 23.53951",10123
Komtikas,"6.95766, 35.55746",29400
Obock,"11.96693, 43.28835",15429
Mae Sot,"16.71667, 98.56667",44563
Vasylivka,"47.44218, 35.28213",12567
Moldova Nouă,"44.7375, 21.66694",13263
Berehove,"48.20514, 22.64453",23325
Mölndal,"57.6554, 12.01378",59430
Lota,"-37.08994, -73.1577",49763
Zhongzhai,"33.19133, 104.42009",19641
Zhangzhai,"34.61667, 116.95",74433
Manzhouli,"49.6, 117.43333",54808
Tonggu,"30.93409, 109.7311",18590
Frasnes-lez-Buissenal,"50.66783, 3.62047",10936
Etropole,"42.8328, 23.99636",11031
São Joaquim do Monte,"-8.4325, -35.80444",13520
Ribeirão Bonito,"-22.06667, -48.17611",10877
Port Kennedy,"-32.37342, 115.7515",13238
Killara,"-33.76604, 151.16213",10451
Oostkamp,"51.15432, 3.23128",21489
Wolfhagen,"51.32611, 9.17015",13266
Scharbeutz,"54.03333, 10.75",12087
Cape Girardeau,"37.30588, -89.51815",39462
Aldine,"29.93245, -95.38021",15869
Uvalde,"29.20968, -99.78617",16476
Shangqiu,"34.45, 115.65",1536392
Kaihua,"23.3695, 104.27721",64404
Bashan,"27.76823, 116.05017",103748
Roldanillo,"4.41256, -76.15457",27561
Pulheim,"50.99965, 6.80632",53762
Gangtok,"27.32574, 88.61216",30700
Lapai,"9.04439, 6.57089",16442
Kara Suu,"40.7046, 72.86666",26609
Oualâta,"17.3014, -7.0256",11779
Rho,"45.53245, 9.0402",47086
Ciudad Hidalgo,"14.68148, -92.15217",14606
Actopan,"20.26961, -98.94377",29223
Kargopol’,"61.50359, 38.9486",10966
Annino,"55.58316, 37.26019",30000
Kyshtym,"55.714, 60.5528",41625
Baltiysk,"54.65455, 19.90929",34540
